Kanji,Kana,Romanji,Traduções,Palavras,jlpt,Tag
一,いち,ichi,"um, primeiro","一番,一日,一度,一言,一時,一々",5,número
二,に,ni,"dois, segundo","二日,二人,二十歳,二部",5,
